title,details_url,start_date,end_date,venue_text,category,host,location,address,nor_url,si_url,results_url,other_docs,description,contact,organiser,sas_event_id,external_host,external_event_id,is_past
2025 ILCA Nationals,https://www.sailing.org.za/events/277985,2025-04-19,2025-04-20,>2025 ILCA Nationals,,,,,,,,,,,,277985,,,True
FBYC Easter Regatta,https://www.sailing.org.za/events/278534,2025-04-19,2025-04-20,>FBYC Easter Regatta,,,,,,,,,,,,278534,,,True
WC Dinghy Champs,https://www.sailing.org.za/events/238427,2025-04-26,2025-04-28,>WC Dinghy Champs,,,,,,,,,,,,238427,,,True
Hobie 16 WC Champs,https://www.sailing.org.za/events/277397,2025-04-26,2025-04-28,>Hobie 16 WC Champs,,,,,,,,,,,,277397,,,True
SA Sailing KZN Grand slam regatta,https://www.sailing.org.za/events/286350,2025-04-26,2025-04-27,>SA Sailing KZN Grand slam regatta,,,,,,,,,,,,286350,,,True
2025 29er SA Sailing National Championship,https://www.revolutionise.com.au/29erclass/events/276341,2025-05-01,2025-05-04,"target=""_blank""",,,,,,,,,,,,,revolutionise,276341,True
2025 Free State Youth Provincial Championship,https://www.sailing.org.za/events/283418,2025-05-01,2025-05-04,>2025 Free State Youth Provincial Championship,,,,,,,,,,,,283418,,,True
National Umpire Seminar,https://www.sailing.org.za/events/291835,2025-05-03,2025-05-04,>National Umpire Seminar,,,,,,,,,,,,291835,,,True
2025 DF95 / IOM Regional Championship,https://www.sailing.org.za/events/294318,2025-05-10,2025-05-11,>2025 DF95 / IOM Regional Championship,,,,,,,,,,,,294318,,,True
Regional Race Officer Workshop,https://www.sailing.org.za/events/284496,2025-05-15,2025-05-15,>Regional Race Officer Workshop,,,,,,,,,,,,284496,,,True
Double Cape Race,https://www.sailing.org.za/events/278536,2025-05-17,2025-05-18,>Double Cape Race,,,,,,,,,,,,278536,,,True
Jonsson Cup,https://www.sailing.org.za/events/230936,2025-05-24,2025-05-24,>Jonsson Cup,,,,,,,,,,,,230936,,,True
SA Sailing Senior Instructor Course-SIMB0525,https://www.sailing.org.za/events/260477,2025-05-26,2025-05-30,>SA Sailing Senior Instructor Course-SIMB0525,,,,,,,,,,,,260477,,,True
2025 Dragonflite 95 Radio Championships,https://www.sailing.org.za/events/294317,2025-05-31,2025-06-01,>2025 Dragonflite 95 Radio Championships,,,,,,,,,,,,294317,,,True
RCYC Ladies Race,https://www.sailing.org.za/events/278535,2025-05-31,2025-05-31,>RCYC Ladies Race,,,,,,,,,,,,278535,,,True
2025 SA Sailing KZN AGM,https://www.sailing.org.za/events/344363,2025-06-02,2025-06-02,>2025 SA Sailing KZN AGM,,,,,,,,,,,,344363,,,True
2025 SA Sailing FS AGM,https://www.sailing.org.za/events/298431,2025-06-12,2025-06-12,>2025 SA Sailing FS AGM,,,,,,,,,,,,298431,,,True
